Title,Year,Running time,Country,Language,Release date,Box office,Genre,Imdb Rating
Incredibles 2,2018,118,USA,English,2018/6/5,1245000000,Action,7.6
Christopher Robin,2018,104,USA,English,2018/7/30,197700000,Comedy,7.3
The Nutcracker and the Four Realms,2018,99,USA,English,2018/10/29,174000000,Fantasy,5.6
Ralph Breaks the Internet,2018,112,USA,English,2018/11/5,529300000,Comedy,7
Mary Poppins Returns,2018,131,USA,English,2018/11/29,349500000,Comedy,6.7
Dumbo,2019,112,USA,English,2019/3/11,353300000,Drama,7.2
Penguins,2019,76,USA,English,2019/4/17,7700000,Documentary,7.1
Toy Story 4,2019,100,USA,English,2019/6/11,1073000000,Comedy,7.7
The Lion King,2019,118,USA,English,2019/7/9,1663000000,Drama,8.5
Maleficent: Mistress of Evil,2019,119,USA,English,2019/10/18,491700000,Fantasy,6.6
Frozen II,2019,104,USA,English,2019/11/7,1450000000,Comedy,6.8
Onward,2020,102,USA,English,2020/2/21,141900000,Comedy,7.4
Mulan(2020),2020,115,USA,English,2020/3/9,70000000,Comedy,7.7
Soul,2020,100,USA,English,2020/10/11,121000000,Comedy,8.1
Raya and the Last Dragon,2021,107,USA,English,2021/3/5,130200000,Action,7.4
Cruella,2021,134,USA,English,2021/5/18,233300000,Comedy,7.4
Luca,2021,95,USA,English,2021/6/13,49700000,Comedy,7.5
Jungle Cruise,2021,128,USA,English,2021/7/24,220900000,Action,6.6
Encanto,2021,102,USA,English,2021/11/3,207500000,Comedy,7.4
The Last Warrior: A Messenger of Darkness,2021,108,Russia,Russian,2021/12/23,28431360,Action,5.4
Three Men and a Baby,1987,102,USA,English,1987/11/25,240000000,Comedy,6.1
